Date,Open,High,Low,Close,Adj Close,Volume
17/06/2019,2.39,2.53,2.35,2.46,2.46,20830100
18/06/2019,2.52,2.71,2.45,2.53,2.53,50080800
19/06/2019,2.67,2.84,2.56,2.74,2.74,43761900
20/06/2019,2.87,3.05,2.8,2.83,2.83,55697200
21/06/2019,2.88,2.9,2.57,2.64,2.64,49602400
24/06/2019,2.61,2.69,2.51,2.64,2.64,22693900
25/06/2019,2.64,2.66,2.55,2.6,2.6,16273100
26/06/2019,2.64,2.73,2.54,2.55,2.55,20679300
27/06/2019,2.51,2.62,2.44,2.6,2.6,27685600
28/06/2019,2.6,2.63,2.51,2.55,2.55,17640300
01/07/2019,2.67,2.68,2.58,2.6,2.6,19541600
02/07/2019,2.6,2.85,2.57,2.82,2.82,35317300
03/07/2019,2.93,3.29,2.9,3.13,3.13,75342400
05/07/2019,3.31,3.34,3.15,3.26,3.26,35914600
08/07/2019,3.21,3.5,3.13,3.49,3.49,40424000
09/07/2019,3.58,3.9,3.42,3.69,3.69,87406100
10/07/2019,3.95,4,3.6,3.68,3.68,85126100
11/07/2019,3.64,3.68,3.32,3.42,3.42,57070300
12/07/2019,3.34,3.64,3.32,3.45,3.45,39432200
15/07/2019,3.49,3.52,3.34,3.39,3.39,19833100
16/07/2019,3.4,3.45,3.26,3.3,3.3,25764600
17/07/2019,3.28,3.52,3.25,3.44,3.44,26705000
18/07/2019,3.47,3.5,3.31,3.43,3.43,17652600
19/07/2019,3.43,3.48,3.36,3.37,3.37,13784300
22/07/2019,3.38,3.45,3.31,3.38,3.38,12376900
23/07/2019,3.43,3.49,3.37,3.46,3.46,12462000
24/07/2019,3.45,3.75,3.44,3.67,3.67,38844800
25/07/2019,3.68,3.72,3.5,3.5,3.5,26513300
26/07/2019,3.56,3.62,3.5,3.51,3.51,15606300
29/07/2019,3.55,3.58,3.32,3.46,3.46,25890700
30/07/2019,3.43,3.44,3.35,3.38,3.38,14127900
31/07/2019,3.38,3.53,3.36,3.47,3.47,19917200
